step,train,valid,,,,,,,,
1,0.014050903,0.000561011,,,,,,,,
2,0.008152053,0.001160477,,,,,,,,
3,0.006167756,0.001499302,,,,,,,,
4,0.005147101,0.001705724,,,,,,,,
5,0.004410503,0.001598991,,,,,,,,
6,0.003982031,0.001595541,,,,,,,,
7,0.003517030,0.001413899,,,,,,,,
8,0.003321677,0.001492877,,,,,,,,
9,0.002996245,0.001321221,,,,,,,,
10,0.002814196,0.001261063,,,,,,,,
11,0.002481192,0.001182564,,,,,,,,
12,0.002543305,0.001420285,,,,,,,,
13,0.002092210,0.001052414,,,,,,,,
14,0.002121725,0.001105771,,,,,,,,
15,0.001870300,0.001061098,,,,,,,,
16,0.001963086,0.001273552,,,,,,,,
17,0.001813500,0.001119073,,,,,,,,
18,0.001583012,0.000982900,,,,,,,,
19,0.001463293,0.000916508,,,,,,,,
20,0.001437747,0.000941505,,,,,,,,
21,0.001415981,0.000957617,,,,,,,,
22,0.001435814,0.000993765,,,,,,,,
23,0.001402485,0.001011003,,,,,,,,
24,0.001244551,0.000865812,,,,,,,,
25,0.001415479,0.001066183,,,,,,,,
26,0.001299551,0.000987364,,,,,,,,
27,0.001136500,0.000817163,,,,,,,,
28,0.001175351,0.000895656,,,,,,,,
29,0.001158502,0.000889996,,,,,,,,
30,0.001128581,0.000869250,,,,,,,,
31,0.001018304,0.000757949,,,,,,,,
32,0.001077244,0.000813537,,,,,,,,
33,0.000996693,0.000757417,,,,,,,,
34,0.001028290,0.000790043,,,,,,,,
35,0.001043919,0.000830080,,,,,,,,
36,0.001011391,0.000809746,,,,,,,,
37,0.001041490,0.000851356,,,,,,,,
38,0.000945498,0.000756818,,,,,,,,
39,0.000996484,0.000804831,,,,,,,,
40,0.000954975,0.000774722,,,,,,,,
41,0.000932236,0.000757355,,,,,,,,
42,0.000924713,0.000749494,,,,,,,,
43,0.000898253,0.000727431,,,,,,,,
44,0.000938739,0.000781987,,,,,,,,
45,0.000919246,0.000767511,,,,,,,,
46,0.000966335,0.000820409,,,,,,,,
47,0.000876251,0.000728908,,,,,,,,
48,0.000853922,0.000707934,,,,,,,,
49,0.000855435,0.000717172,,,,,,,,
50,0.000882876,0.000753022,,,,,,,,
51,0.000912465,0.000785922,,,,,,,,
52,0.000860453,0.000732646,,,,,,,,
53,0.000878306,0.000754270,,,,,,,,
54,0.000894210,0.000773449,,,,,,,,
55,0.000796264,0.000682442,,,,,,,,
56,0.000911512,0.000800913,,,,,,,,
57,0.000781016,0.000661342,,,,,,,,
58,0.000804977,0.000692428,,,,,,,,
59,0.000845383,0.000741760,,,,,,,,
60,0.000770537,0.000659711,,,,,,,,
61,0.000812681,0.000708226,,,,,,,,
62,0.000749908,0.000646760,,,,,,,,
63,0.000800517,0.000702618,,,,,,,,
64,0.000764282,0.000665765,,,,,,,,
65,0.000753244,0.000657438,,,,,,,,
66,0.000821368,0.000729875,,,,,,,,
67,0.000729996,0.000637901,,,,,,,,
68,0.000762539,0.000669543,,,,,,,,
69,0.000806362,0.000722104,,,,,,,,
70,0.000818370,0.000731460,,,,,,,,
71,0.000786224,0.000702075,,,,,,,,
72,0.000786561,0.000704803,,,,,,,,
73,0.000746259,0.000663393,,,,,,,,
74,0.000743440,0.000662669,,,,,,,,
75,0.000731998,0.000649982,,,,,,,,
76,0.000713234,0.000633699,,,,,,,,
77,0.000769268,0.000695156,,,,,,,,
78,0.000732297,0.000656848,,,,,,,,
79,0.000742673,0.000668909,,,,,,,,
80,0.000716078,0.000638205,,,,,,,,
81,0.000707006,0.000633743,,,,,,,,
82,0.000719270,0.000646367,,,,,,,,
83,0.000695640,0.000625443,,,,,,,,
84,0.000697143,0.000626020,,,,,,,,
85,0.000698325,0.000628539,,,,,,,,
86,0.000735956,0.000671454,,,,,,,,
87,0.000686904,0.000622659,,,,,,,,
88,0.000717978,0.000652210,,,,,,,,
89,0.000702779,0.000638301,,,,,,,,
90,0.000734030,0.000671997,,,,,,,,
91,0.000686635,0.000622658,,,,,,,,
92,0.000651321,0.000588417,,,,,,,,
93,0.000647249,0.000584744,,,,,,,,
94,0.000652553,0.000592704,,,,,,,,
95,0.000666656,0.000607132,,,,,,,,
96,0.000727644,0.000670163,,,,,,,,
97,0.000701933,0.000645494,,,,,,,,
98,0.000653793,0.000594114,,,,,,,,
99,0.000697773,0.000641936,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,